model,formulation,seed,lambda_budget,fixed_cost,n_customers,n_facilities,n_price_levels,n_options,status,objective,runtime,mip_gap,gap_percent,solved_optimal,opened_facilities,served_customers,service_rate,served_demand,total_revenue,total_opening_cost,lazy_cuts_added,node_count,best_bound,num_vars,num_constraints,base_constraints,effective_constraints,use_cuts,force_open
BBC-NoCuts,bbc_no_cuts,1,1.0,200,15,5,10,50,2,9735.415935961239,0.0032112598419189453,0.0,0.0,True,5,12,0.8,867.4268686434536,10735.415935961239,1000.0,0,1.0,9735.415935961239,805,1394,1394,1394,False,False
BBC,bbc,1,1.0,200,15,5,10,50,2,9735.415935961239,0.003268718719482422,0.0,0.0,True,5,12,0.8,867.4268686434536,10735.415935961239,1000.0,0,1.0,9735.415935961239,805,1394,1394,1394,True,False
BBC-Paper,bbc_paper,1,1.0,200,15,5,10,50,2,9735.415935961239,0.009589672088623047,0.0,0.0,True,5,12,0.8,867.4268686434536,10735.415935961239,1000.0,0,1.0,9735.415935961239,805,1395,1395,1395,True,True
MILP-1,milp1,1,1.5,50,15,5,10,50,2,17992.751372791903,0.06851577758789062,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,200.0,0,1.0,17992.751372791907,805,1862,1862,1862,,
MILP-3,milp3,1,1.5,50,15,5,10,50,2,17992.751372791903,0.03559279441833496,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,200.0,0,1.0,17992.751372791907,805,1847,1847,1847,,
BBC-NoCuts,bbc_no_cuts,1,1.5,50,15,5,10,50,2,18134.498828169188,0.0,0.0,0.0,True,5,14,0.9333333333333333,960.1659506975552,18384.498828169188,250.0,0,1.0,18134.49882816919,805,1112,1112,1112,False,False
BBC,bbc,1,1.5,50,15,5,10,50,2,17992.751372791903,0.029798507690429688,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,200.0,50,1.0,17992.751372791907,805,1112,1112,1162,True,False
BBC-Paper,bbc_paper,1,1.5,50,15,5,10,50,2,17992.751372791903,0.02920079231262207,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,200.0,38,1.0,17992.751372791907,805,1113,1113,1151,True,True
MILP-1,milp1,1,1.5,100,15,5,10,50,2,17792.751372791903,0.0622105598449707,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,400.0,0,1.0,17792.751372791907,805,1862,1862,1862,,
MILP-3,milp3,1,1.5,100,15,5,10,50,2,17792.751372791903,0.04501962661743164,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,400.0,0,1.0,17792.751372791907,805,1847,1847,1847,,
BBC-NoCuts,bbc_no_cuts,1,1.5,100,15,5,10,50,2,17884.498828169188,0.010499715805053711,0.0,0.0,True,5,14,0.9333333333333333,960.1659506975552,18384.498828169188,500.0,0,1.0,17884.49882816919,805,1112,1112,1112,False,False
BBC,bbc,1,1.5,100,15,5,10,50,2,17792.751372791903,0.017471790313720703,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,400.0,34,1.0,17792.751372791907,805,1112,1112,1146,True,False
BBC-Paper,bbc_paper,1,1.5,100,15,5,10,50,2,17792.751372791903,0.01763010025024414,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,400.0,30,1.0,17792.751372791907,805,1113,1113,1143,True,True
MILP-1,milp1,1,1.5,200,15,5,10,50,2,17392.751372791903,0.06605386734008789,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,800.0,0,1.0,17392.751372791907,805,1862,1862,1862,,
MILP-3,milp3,1,1.5,200,15,5,10,50,2,17392.751372791903,0.04496884346008301,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,800.0,0,1.0,17392.751372791907,805,1847,1847,1847,,
BBC-NoCuts,bbc_no_cuts,1,1.5,200,15,5,10,50,2,17392.751372791907,0.014499664306640625,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,800.0,0,1.0,17392.751372791907,805,1112,1112,1112,False,False
BBC,bbc,1,1.5,200,15,5,10,50,2,17392.751372791903,0.0043125152587890625,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,800.0,2,1.0,17392.751372791907,805,1112,1112,1114,True,False
BBC-Paper,bbc_paper,1,1.5,200,15,5,10,50,2,17392.751372791903,0.0064697265625,0.0,0.0,True,4,13,0.8666666666666667,909.6375686395952,18192.751372791907,800.0,2,1.0,17392.751372791907,805,1113,1113,1115,True,True
BBC-NoCuts,bbc_no_cuts,2,0.5,50,15,5,10,50,2,2263.171897723464,0.0039014816284179688,0.0,0.0,True,5,9,0.6,510.8511413099599,2513.171897723464,250.0,0,1.0,2263.171897723464,805,1491,1491,1491,False,False
BBC,bbc,2,0.5,50,15,5,10,50,2,2263.171897723464,0.0,0.0,0.0,True,5,9,0.6,510.8511413099599,2513.171897723464,250.0,0,1.0,2263.171897723464,805,1491,1491,1491,True,False
BBC-Paper,bbc_paper,2,0.5,50,15,5,10,50,2,2263.171897723464,0.0029647350311279297,0.0,0.0,True,5,9,0.6,510.8511413099599,2513.171897723464,250.0,0,1.0,2263.171897723464,805,1492,1492,1492,True,True
BBC-NoCuts,bbc_no_cuts,2,0.5,100,15,5,10,50,2,2013.171897723464,0.008414745330810547,0.0,0.0,True,5,9,0.6,510.8511413099599,2513.171897723464,500.0,0,1.0,2013.1718977234643,805,1491,1491,1491,False,False
BBC,bbc,2,0.5,100,15,5,10,50,2,2013.171897723464,0.0026247501373291016,0.0,0.0,True,5,9,0.6,510.8511413099599,2513.171897723464,500.0,0,1.0,2013.171897723464,805,1491,1491,1491,True,False
BBC-Paper,bbc_paper,2,0.5,100,15,5,10,50,2,2013.171897723464,0.0032279491424560547,0.0,0.0,True,5,9,0.6,510.8511413099599,2513.171897723464,500.0,0,1.0,2013.171897723464,805,1492,1492,1492,True,True
BBC-NoCuts,bbc_no_cuts,2,0.5,200,15,5,10,50,2,1513.171897723464,0.003971099853515625,0.0,0.0,True,5,9,0.6,510.8511413099599,2513.171897723464,1000.0,0,1.0,1513.1718977234643,805,1491,1491,1491,False,False
BBC,bbc,2,0.5,200,15,5,10,50,2,1513.171897723464,0.004716396331787109,0.0,0.0,True,5,9,0.6,510.8511413099599,2513.171897723464,1000.0,0,1.0,1513.1718977234643,805,1491,1491,1491,True,False
BBC-Paper,bbc_paper,2,0.5,200,15,5,10,50,2,1513.171897723464,0.0036499500274658203,0.0,0.0,True,5,9,0.6,510.8511413099599,2513.171897723464,1000.0,0,1.0,1513.1718977234643,805,1492,1492,1492,True,True
BBC-NoCuts,bbc_no_cuts,2,1.0,50,15,5,10,50,2,9680.766305694615,0.004996061325073242,0.0,0.0,True,5,13,0.8666666666666667,777.9109970711464,9930.766305694613,250.0,0,1.0,9680.766305694615,805,1341,1341,1341,False,False
BBC,bbc,2,1.0,50,15,5,10,50,2,9680.766305694615,0.00587153434753418,0.0,0.0,True,5,13,0.8666666666666667,777.9109970711464,9930.766305694613,250.0,0,1.0,9680.766305694615,805,1341,1341,1341,True,False
BBC-Paper,bbc_paper,2,1.0,50,15,5,10,50,2,9680.766305694615,0.0020046234130859375,0.0,0.0,True,5,13,0.8666666666666667,777.9109970711464,9930.766305694613,250.0,0,1.0,9680.766305694615,805,1342,1342,1342,True,True
BBC-NoCuts,bbc_no_cuts,2,1.0,100,15,5,10,50,2,9430.766305694615,0.0060002803802490234,0.0,0.0,True,5,13,0.8666666666666667,777.9109970711464,9930.766305694613,500.0,0,1.0,9430.766305694615,805,1341,1341,1341,False,False
BBC,bbc,2,1.0,100,15,5,10,50,2,9430.766305694615,0.003235340118408203,0.0,0.0,True,5,13,0.8666666666666667,777.9109970711464,9930.766305694613,500.0,0,1.0,9430.766305694615,805,1341,1341,1341,True,False
BBC-Paper,bbc_paper,2,1.0,100,15,5,10,50,2,9430.766305694615,0.006862640380859375,0.0,0.0,True,5,13,0.8666666666666667,777.9109970711464,9930.766305694613,500.0,0,1.0,9430.766305694615,805,1342,1342,1342,True,True
BBC-NoCuts,bbc_no_cuts,2,1.0,200,15,5,10,50,2,8930.766305694615,0.0055599212646484375,0.0,0.0,True,5,13,0.8666666666666667,777.9109970711464,9930.766305694613,1000.0,0,1.0,8930.766305694615,805,1341,1341,1341,False,False
BBC,bbc,2,1.0,200,15,5,10,50,2,8930.766305694615,0.0030364990234375,0.0,0.0,True,5,13,0.8666666666666667,777.9109970711464,9930.766305694613,1000.0,0,1.0,8930.766305694615,805,1341,1341,1341,True,False
BBC-Paper,bbc_paper,2,1.0,200,15,5,10,50,2,8930.766305694615,0.003000497817993164,0.0,0.0,True,5,13,0.8666666666666667,777.9109970711464,9930.766305694613,1000.0,0,1.0,8930.766305694615,805,1342,1342,1342,True,True
MILP-1,milp1,2,1.5,50,15,5,10,50,2,16059.5897536541,0.10825562477111816,0.0,0.0,True,4,15,1.0,957.2535398401503,16259.5897536541,200.0,0,1.0,16059.5897536541,805,1875,1875,1875,,
MILP-3,milp3,2,1.5,50,15,5,10,50,2,16059.5897536541,0.05955243110656738,0.0,0.0,True,4,15,1.0,957.2535398401503,16259.5897536541,200.0,0,1.0,16059.5897536541,805,1860,1860,1860,,
BBC-NoCuts,bbc_no_cuts,2,1.5,50,15,5,10,50,2,17510.33045465097,0.0030014514923095703,0.0,0.0,True,4,15,1.0,957.2535398401503,17710.330454650975,200.0,0,1.0,17510.330454650975,805,1125,1125,1125,False,False
BBC,bbc,2,1.5,50,15,5,10,50,2,16059.5897536541,0.24734830856323242,0.0,0.0,True,4,15,1.0,957.2535398401503,16259.5897536541,200.0,74,107.0,16059.589753654102,805,1125,1125,1199,True,False
BBC-Paper,bbc_paper,2,1.5,50,15,5,10,50,2,16059.5897536541,0.1671767234802246,0.0,0.0,True,4,15,1.0,957.2535398401503,16259.5897536541,200.0,71,99.0,16059.589753654102,805,1126,1126,1197,True,True
MILP-1,milp1,2,1.5,100,15,5,10,50,2,15859.5897536541,0.11534857749938965,0.0,0.0,True,4,15,1.0,957.2535398401503,16259.5897536541,400.0,0,1.0,15859.589753654102,805,1875,1875,1875,,
MILP-3,milp3,2,1.5,100,15,5,10,50,2,15859.5897536541,0.06232428550720215,0.0,0.0,True,4,15,1.0,957.2535398401503,16259.5897536541,400.0,0,1.0,15859.5897536541,805,1860,1860,1860,,
BBC-NoCuts,bbc_no_cuts,2,1.5,100,15,5,10,50,2,17310.33045465097,0.004439115524291992,0.0,0.0,True,4,15,1.0,957.2535398401503,17710.330454650975,400.0,0,1.0,17310.330454650975,805,1125,1125,1125,False,False
BBC,bbc,2,1.5,100,15,5,10,50,2,15859.5897536541,0.25810885429382324,0.0,0.0,True,4,15,1.0,957.2535398401503,16259.5897536541,400.0,67,107.0,15859.589753654102,805,1125,1125,1192,True,False
BBC-Paper,bbc_paper,2,1.5,100,15,5,10,50,2,15859.5897536541,0.26271677017211914,0.0,0.0,True,4,15,1.0,957.2535398401503,16259.5897536541,400.0,76,102.0,15859.589753654102,805,1126,1126,1202,True,True
MILP-1,milp1,2,1.5,200,15,5,10,50,2,15535.653408244856,0.13261961936950684,0.0,0.0,True,3,15,1.0,957.2535398401503,16135.653408244856,600.0,0,1.0,15535.65340824486,805,1875,1875,1875,,
MILP-3,milp3,2,1.5,200,15,5,10,50,2,15535.653408244856,0.060479164123535156,0.0,0.0,True,3,15,1.0,957.2535398401503,16135.653408244856,600.0,0,1.0,15535.65340824486,805,1860,1860,1860,,
BBC-NoCuts,bbc_no_cuts,2,1.5,200,15,5,10,50,2,16910.33045465097,0.0,0.0,0.0,True,4,15,1.0,957.2535398401503,17710.330454650975,800.0,0,1.0,16910.330454650975,805,1125,1125,1125,False,False
BBC,bbc,2,1.5,200,15,5,10,50,2,15535.653408244856,0.15562677383422852,0.0,0.0,True,3,15,1.0,957.2535398401503,16135.653408244856,600.0,59,85.0,15535.653408244856,805,1125,1125,1184,True,False
BBC-Paper,bbc_paper,2,1.5,200,15,5,10,50,2,15535.653408244856,0.24843358993530273,0.0,0.0,True,3,15,1.0,957.2535398401503,16135.653408244856,600.0,54,73.0,15535.653408244856,805,1126,1126,1180,True,True
BBC-NoCuts,bbc_no_cuts,3,0.5,50,15,5,10,50,2,1688.8022573204912,0.003985404968261719,0.0,0.0,True,4,6,0.4,420.5352792841274,1888.8022573204912,200.0,0,1.0,1688.8022573204912,805,1501,1501,1501,False,False
BBC,bbc,3,0.5,50,15,5,10,50,2,1688.8022573204912,0.0,0.0,0.0,True,4,6,0.4,420.5352792841274,1888.8022573204912,200.0,0,1.0,1688.8022573204912,805,1501,1501,1501,True,False
BBC-Paper,bbc_paper,3,0.5,50,15,5,10,50,2,1688.8022573204912,0.002028942108154297,0.0,0.0,True,4,6,0.4,420.5352792841274,1888.8022573204912,200.0,0,1.0,1688.8022573204912,805,1502,1502,1502,True,True
BBC-NoCuts,bbc_no_cuts,3,0.5,100,15,5,10,50,2,1488.8022573204912,0.003305196762084961,0.0,0.0,True,4,6,0.4,420.5352792841274,1888.8022573204912,400.0,0,1.0,1488.8022573204912,805,1501,1501,1501,False,False
BBC,bbc,3,0.5,100,15,5,10,50,2,1488.8022573204912,0.0020003318786621094,0.0,0.0,True,4,6,0.4,420.5352792841274,1888.8022573204912,400.0,0,1.0,1488.8022573204912,805,1501,1501,1501,True,False
BBC-Paper,bbc_paper,3,0.5,100,15,5,10,50,2,1488.8022573204912,0.002015352249145508,0.0,0.0,True,4,6,0.4,420.5352792841274,1888.8022573204912,400.0,0,1.0,1488.8022573204912,805,1502,1502,1502,True,True
BBC-NoCuts,bbc_no_cuts,3,0.5,200,15,5,10,50,2,1107.9619031509362,0.003903627395629883,0.0,0.0,True,3,5,0.3333333333333333,330.1151021993499,1707.9619031509362,600.0,0,1.0,1107.9619031509362,805,1501,1501,1501,False,False
BBC,bbc,3,0.5,200,15,5,10,50,2,1107.9619031509362,0.0019876956939697266,0.0,0.0,True,3,5,0.3333333333333333,330.1151021993499,1707.9619031509362,600.0,0,1.0,1107.9619031509362,805,1501,1501,1501,True,False
BBC-Paper,bbc_paper,3,0.5,200,15,5,10,50,2,1107.9619031509362,0.001979827880859375,0.0,0.0,True,3,5,0.3333333333333333,330.1151021993499,1707.9619031509362,600.0,0,1.0,1107.9619031509362,805,1502,1502,1502,True,True
BBC-NoCuts,bbc_no_cuts,3,1.0,50,15,5,10,50,2,10040.497019021052,0.0050470829010009766,0.0,0.0,True,5,11,0.7333333333333333,711.9743395064578,10290.49701902105,250.0,0,1.0,10040.497019021052,805,1365,1365,1365,False,False
BBC,bbc,3,1.0,50,15,5,10,50,2,9898.250120418837,0.025655508041381836,6.348197504057587e-09,6.348197504057588e-07,True,5,11,0.7333333333333333,711.9743395064578,10148.250120418837,250.0,17,1.0,9898.250183254884,805,1365,1365,1382,True,False
BBC-Paper,bbc_paper,3,1.0,50,15,5,10,50,2,9898.250120418837,0.049402475357055664,0.0,0.0,True,5,11,0.7333333333333333,711.9743395064578,10148.250120418837,250.0,19,1.0,9898.250120418837,805,1366,1366,1385,True,True
BBC-NoCuts,bbc_no_cuts,3,1.0,100,15,5,10,50,2,9830.291779335948,0.0050106048583984375,0.0,0.0,True,4,11,0.7333333333333333,711.9743395064578,10230.291779335948,400.0,0,1.0,9830.291779335948,805,1365,1365,1365,False,False
BBC,bbc,3,1.0,100,15,5,10,50,2,9648.250120418837,0.029414653778076172,0.0,0.0,True,5,11,0.7333333333333333,711.9743395064578,10148.250120418837,500.0,19,1.0,9648.250120418837,805,1365,1365,1384,True,False
BBC-Paper,bbc_paper,3,1.0,100,15,5,10,50,2,9648.250120418837,0.035367727279663086,0.0,0.0,True,5,11,0.7333333333333333,711.9743395064578,10148.250120418837,500.0,19,1.0,9648.250120418837,805,1366,1366,1385,True,True
BBC-NoCuts,bbc_no_cuts,3,1.0,200,15,5,10,50,2,9430.291779335948,0.006985902786254883,0.0,0.0,True,4,11,0.7333333333333333,711.9743395064578,10230.291779335948,800.0,0,1.0,9430.291779335948,805,1365,1365,1365,False,False
BBC,bbc,3,1.0,200,15,5,10,50,2,9231.399761824798,0.025858402252197266,0.0,0.0,True,4,11,0.7333333333333333,711.9743395064578,10031.399761824798,800.0,8,1.0,9231.399761824796,805,1365,1365,1373,True,False
BBC-Paper,bbc_paper,3,1.0,200,15,5,10,50,2,9231.399761824798,0.023966073989868164,0.0,0.0,True,4,11,0.7333333333333333,711.9743395064578,10031.399761824798,800.0,8,1.0,9231.399761824796,805,1366,1366,1374,True,True
MILP-1,milp1,3,1.5,50,15,5,10,50,2,19352.91077749699,0.07001018524169922,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,200.0,0,1.0,19352.91077749699,805,1824,1824,1824,,
MILP-3,milp3,3,1.5,50,15,5,10,50,2,19352.91077749699,0.05794358253479004,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,200.0,0,1.0,19352.91077749699,805,1809,1809,1809,,
BBC-NoCuts,bbc_no_cuts,3,1.5,50,15,5,10,50,2,19352.910777496985,0.008526086807250977,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,200.0,0,1.0,19352.91077749699,805,1074,1074,1074,False,False
BBC,bbc,3,1.5,50,15,5,10,50,2,19352.91077749699,0.005776405334472656,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,200.0,2,1.0,19352.91077749699,805,1074,1074,1076,True,False
BBC-Paper,bbc_paper,3,1.5,50,15,5,10,50,2,19352.91077749699,0.009067773818969727,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,200.0,2,1.0,19352.91077749699,805,1075,1075,1077,True,True
MILP-1,milp1,3,1.5,100,15,5,10,50,2,19152.91077749699,0.0946192741394043,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,400.0,0,1.0,19152.91077749699,805,1824,1824,1824,,
MILP-3,milp3,3,1.5,100,15,5,10,50,2,19152.91077749699,0.0556788444519043,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,400.0,0,1.0,19152.91077749699,805,1809,1809,1809,,
BBC-NoCuts,bbc_no_cuts,3,1.5,100,15,5,10,50,2,19152.910777496985,0.008840322494506836,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,400.0,0,1.0,19152.91077749699,805,1074,1074,1074,False,False
BBC,bbc,3,1.5,100,15,5,10,50,2,19152.91077749699,0.0065119266510009766,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,400.0,2,1.0,19152.91077749699,805,1074,1074,1076,True,False
BBC-Paper,bbc_paper,3,1.5,100,15,5,10,50,2,19152.91077749699,0.0060253143310546875,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,400.0,2,1.0,19152.91077749699,805,1075,1075,1077,True,True
MILP-1,milp1,3,1.5,200,15,5,10,50,2,18752.91077749699,0.0863957405090332,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,800.0,0,1.0,18752.91077749699,805,1824,1824,1824,,
MILP-3,milp3,3,1.5,200,15,5,10,50,2,18752.91077749699,0.04510951042175293,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,800.0,0,1.0,18752.91077749699,805,1809,1809,1809,,
BBC-NoCuts,bbc_no_cuts,3,1.5,200,15,5,10,50,2,18752.910777496985,0.0,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,800.0,0,1.0,18752.91077749699,805,1074,1074,1074,False,False
BBC,bbc,3,1.5,200,15,5,10,50,2,18752.91077749699,0.003508329391479492,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,800.0,2,1.0,18752.91077749699,805,1074,1074,1076,True,False
BBC-Paper,bbc_paper,3,1.5,200,15,5,10,50,2,18752.91077749699,0.004545688629150391,0.0,0.0,True,4,15,1.0,977.6455388748493,19552.91077749699,800.0,2,1.0,18752.91077749699,805,1075,1075,1077,True,True
BBC-NoCuts,bbc_no_cuts,4,0.5,50,15,5,10,50,2,1199.4500379044819,0.0009889602661132812,0.0,0.0,True,3,4,0.26666666666666666,214.73795310298902,1349.450037904482,150.0,0,1.0,1199.4500379044819,805,1494,1494,1494,False,False
BBC,bbc,4,0.5,50,15,5,10,50,2,1199.4500379044819,0.0030167102813720703,0.0,0.0,True,3,4,0.26666666666666666,214.73795310298902,1349.450037904482,150.0,0,1.0,1199.450037904482,805,1494,1494,1494,True,False
BBC-Paper,bbc_paper,4,0.5,50,15,5,10,50,2,1199.4500379044819,0.003006458282470703,0.0,0.0,True,3,4,0.26666666666666666,214.73795310298902,1349.450037904482,150.0,0,1.0,1199.450037904482,805,1495,1495,1495,True,True
BBC-NoCuts,bbc_no_cuts,4,0.5,100,15,5,10,50,2,1049.4500379044819,0.004194736480712891,0.0,0.0,True,3,4,0.26666666666666666,214.73795310298902,1349.450037904482,300.0,0,1.0,1049.4500379044819,805,1494,1494,1494,False,False
BBC,bbc,4,0.5,100,15,5,10,50,2,1049.4500379044819,0.002016782760620117,0.0,0.0,True,3,4,0.26666666666666666,214.73795310298902,1349.450037904482,300.0,0,1.0,1049.450037904482,805,1494,1494,1494,True,False
BBC-Paper,bbc_paper,4,0.5,100,15,5,10,50,2,1049.4500379044819,0.0019981861114501953,0.0,0.0,True,3,4,0.26666666666666666,214.73795310298902,1349.450037904482,300.0,0,1.0,1049.450037904482,805,1495,1495,1495,True,True
BBC-NoCuts,bbc_no_cuts,4,0.5,200,15,5,10,50,2,749.450037904482,0.0030052661895751953,0.0,0.0,True,3,4,0.26666666666666666,214.73795310298902,1349.450037904482,600.0,0,1.0,749.450037904482,805,1494,1494,1494,False,False
BBC,bbc,4,0.5,200,15,5,10,50,2,749.450037904482,0.002026796340942383,0.0,0.0,True,3,4,0.26666666666666666,214.73795310298902,1349.450037904482,600.0,0,1.0,749.450037904482,805,1494,1494,1494,True,False
BBC-Paper,bbc_paper,4,0.5,200,15,5,10,50,2,749.450037904482,0.0029840469360351562,0.0,0.0,True,3,4,0.26666666666666666,214.73795310298902,1349.450037904482,600.0,0,1.0,749.450037904482,805,1495,1495,1495,True,True
BBC-NoCuts,bbc_no_cuts,4,1.0,50,15,5,10,50,2,8060.3663577395655,0.0042684078216552734,0.0,0.0,True,5,14,0.9333333333333333,653.0388405885067,8310.366357739566,250.0,0,1.0,8060.366357739566,805,1345,1345,1345,False,False
BBC,bbc,4,1.0,50,15,5,10,50,2,6705.167706746322,0.15532803535461426,0.0,0.0,True,4,9,0.6,439.2131284302353,6905.167706746322,200.0,34,19.0,6705.167706746322,805,1345,1345,1379,True,False
BBC-Paper,bbc_paper,4,1.0,50,15,5,10,50,2,6705.167706746322,0.15914559364318848,0.0,0.0,True,4,9,0.6,439.2131284302353,6905.167706746322,200.0,34,15.0,6705.167706746324,805,1346,1346,1380,True,True
BBC-NoCuts,bbc_no_cuts,4,1.0,100,15,5,10,50,2,7824.157754280905,0.0028853416442871094,0.0,0.0,True,4,14,0.9333333333333333,653.0388405885067,8224.157754280905,400.0,0,1.0,7824.157754280905,805,1345,1345,1345,False,False
BBC,bbc,4,1.0,100,15,5,10,50,2,6505.167706746324,0.17731404304504395,0.0,0.0,True,4,9,0.6,439.2131284302353,6905.167706746322,400.0,29,13.0,6505.167706746324,805,1345,1345,1374,True,False
BBC-Paper,bbc_paper,4,1.0,100,15,5,10,50,2,6505.167706746324,0.11883020401000977,0.0,0.0,True,4,9,0.6,439.2131284302353,6905.167706746322,400.0,29,9.0,6505.167706746322,805,1346,1346,1375,True,True
BBC-NoCuts,bbc_no_cuts,4,1.0,200,15,5,10,50,2,7487.02044811204,0.0040721893310546875,0.0,0.0,True,3,13,0.8666666666666667,618.7545140462911,8087.020448112043,600.0,0,1.0,7487.020448112043,805,1345,1345,1345,False,False
BBC,bbc,4,1.0,200,15,5,10,50,2,6168.0304005774615,0.11991095542907715,0.0,0.0,True,3,8,0.5333333333333333,404.92880188801973,6768.03040057746,600.0,40,9.0,6168.0304005774615,805,1345,1345,1385,True,False
BBC-Paper,bbc_paper,4,1.0,200,15,5,10,50,2,6168.0304005774615,0.1659712791442871,0.0,0.0,True,3,8,0.5333333333333333,404.92880188801973,6768.03040057746,600.0,41,12.0,6168.0304005774615,805,1346,1346,1387,True,True
MILP-1,milp1,4,1.5,50,15,5,10,50,2,12361.567219070317,0.07568621635437012,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,100.0,0,1.0,12361.567219070319,805,1849,1849,1849,,
MILP-3,milp3,4,1.5,50,15,5,10,50,2,12361.567219070319,0.05003619194030762,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,100.0,0,1.0,12361.567219070319,805,1834,1834,1834,,
BBC-NoCuts,bbc_no_cuts,4,1.5,50,15,5,10,50,2,12791.547790661338,0.0,0.0,0.0,True,3,15,1.0,657.3626874957315,12941.547790661336,150.0,0,1.0,12791.547790661338,805,1099,1099,1099,False,False
BBC,bbc,4,1.5,50,15,5,10,50,2,12361.567219070319,0.10535430908203125,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,100.0,136,1.0,12361.567219070319,805,1099,1099,1235,True,False
BBC-Paper,bbc_paper,4,1.5,50,15,5,10,50,2,12361.567219070319,0.0979466438293457,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,100.0,119,1.0,12361.567219070319,805,1100,1100,1219,True,True
MILP-1,milp1,4,1.5,100,15,5,10,50,2,12261.567219070319,0.07532477378845215,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,200.0,0,1.0,12261.567219070319,805,1849,1849,1849,,
MILP-3,milp3,4,1.5,100,15,5,10,50,2,12261.567219070317,0.05405735969543457,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,200.0,0,1.0,12261.567219070319,805,1834,1834,1834,,
BBC-NoCuts,bbc_no_cuts,4,1.5,100,15,5,10,50,2,12641.547790661338,0.0,0.0,0.0,True,3,15,1.0,657.3626874957315,12941.547790661336,300.0,0,1.0,12641.547790661338,805,1099,1099,1099,False,False
BBC,bbc,4,1.5,100,15,5,10,50,2,12261.567219070319,0.1150050163269043,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,200.0,107,1.0,12261.567219070319,805,1099,1099,1206,True,False
BBC-Paper,bbc_paper,4,1.5,100,15,5,10,50,2,12261.567219070319,0.062415361404418945,8.118063779636953e-05,0.008118063779636952,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,200.0,98,1.0,12262.562620917546,805,1100,1100,1198,True,True
MILP-1,milp1,4,1.5,200,15,5,10,50,2,12061.567219070319,0.07429170608520508,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,400.0,0,1.0,12061.567219070319,805,1849,1849,1849,,
MILP-3,milp3,4,1.5,200,15,5,10,50,2,12061.567219070319,0.04885268211364746,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,400.0,0,1.0,12061.567219070319,805,1834,1834,1834,,
BBC-NoCuts,bbc_no_cuts,4,1.5,200,15,5,10,50,2,12341.547790661338,0.016767263412475586,0.0,0.0,True,3,15,1.0,657.3626874957315,12941.547790661336,600.0,0,1.0,12341.547790661338,805,1099,1099,1099,False,False
BBC,bbc,4,1.5,200,15,5,10,50,2,12061.567219070319,0.021559953689575195,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,400.0,62,1.0,12061.567219070319,805,1099,1099,1161,True,False
BBC-Paper,bbc_paper,4,1.5,200,15,5,10,50,2,12061.567219070319,0.013386726379394531,0.0,0.0,True,2,14,0.9333333333333333,623.0783609535159,12461.567219070317,400.0,62,1.0,12061.567219070319,805,1100,1100,1162,True,True
